,person,id,time
0,0009655768c64bdeb2e877511632db8f,f19421c1d4aa40978ebb69ca19b0e20d,17.25
1,0009655768c64bdeb2e877511632db8f,fafdcd668e3743c1bb461111dcafc2a4,22.0
2,0011e0d4e6b944f998e987f904e8c1e5,2298d6c36e964ae4a3e7e9706d1fb8c2,10.5
3,0011e0d4e6b944f998e987f904e8c1e5,0b1e1539f2cc45b7b9fa7c272da2e1d7,24.0
4,0011e0d4e6b944f998e987f904e8c1e5,9b98b8c7a33c4b65b9aebfe6a799e6d9,24.0
5,0020c2b971eb4e9188eac86d93036a77,fafdcd668e3743c1bb461111dcafc2a4,2.25
6,0020c2b971eb4e9188eac86d93036a77,4d5c57ea9a6940dd891ad53e9dbe8da0,21.25
7,0020ccbbb6d84e358d3414a3ff76cffd,2298d6c36e964ae4a3e7e9706d1fb8c2,9.25
8,0020ccbbb6d84e358d3414a3ff76cffd,f19421c1d4aa40978ebb69ca19b0e20d,15.75
9,0020ccbbb6d84e358d3414a3ff76cffd,9b98b8c7a33c4b65b9aebfe6a799e6d9,25.0
10,003d66b6608740288d6cc97a6903f4f0,fafdcd668e3743c1bb461111dcafc2a4,16.0
11,003d66b6608740288d6cc97a6903f4f0,fafdcd668e3743c1bb461111dcafc2a4,21.0
12,00426fe3ffde4c6b9cb9ad6d077a13ea,fafdcd668e3743c1bb461111dcafc2a4,10.75
13,004b041fbfe44859945daa2c7f79ee64,f19421c1d4aa40978ebb69ca19b0e20d,22.25
14,004b041fbfe44859945daa2c7f79ee64,fafdcd668e3743c1bb461111dcafc2a4,29.75
15,004c5799adbf42868b9cff0396190900,fafdcd668e3743c1bb461111dcafc2a4,9.25
16,004c5799adbf42868b9cff0396190900,f19421c1d4aa40978ebb69ca19b0e20d,18.0
17,004c5799adbf42868b9cff0396190900,f19421c1d4aa40978ebb69ca19b0e20d,23.25
18,004c5799adbf42868b9cff0396190900,fafdcd668e3743c1bb461111dcafc2a4,24.0
19,0056df74b63b4298809f0b375a304cf4,9b98b8c7a33c4b65b9aebfe6a799e6d9,5.5
20,0056df74b63b4298809f0b375a304cf4,2298d6c36e964ae4a3e7e9706d1fb8c2,24.0
21,00715b6e55c3431cb56ff7307eb19675,ae264e3637204a6fb9bb56bc8210ddfd,0.5
22,00715b6e55c3431cb56ff7307eb19675,0b1e1539f2cc45b7b9fa7c272da2e1d7,8.75
23,00715b6e55c3431cb56ff7307eb19675,2906b810c7d4411798c6938adc9daaa5,22.25
24,0082fd87c18f45f2be70dbcbb0fb8aad,9b98b8c7a33c4b65b9aebfe6a799e6d9,15.25
25,00840a2ca5d2408e982d56544dc14ffd,fafdcd668e3743c1bb461111dcafc2a4,10.25
26,00840a2ca5d2408e982d56544dc14ffd,2906b810c7d4411798c6938adc9daaa5,22.5
27,0091d2b6a5ea4defaa8393e4e816db60,4d5c57ea9a6940dd891ad53e9dbe8da0,0.25
28,0091d2b6a5ea4defaa8393e4e816db60,0b1e1539f2cc45b7b9fa7c272da2e1d7,12.5
29,0091d2b6a5ea4defaa8393e4e816db60,f19421c1d4aa40978ebb69ca19b0e20d,17.0
30,0091d2b6a5ea4defaa8393e4e816db60,f19421c1d4aa40978ebb69ca19b0e20d,22.5
31,0099bf30e4cb4265875266eb3eb25eab,fafdcd668e3743c1bb461111dcafc2a4,9.75
32,00a794f62b9a48beb58f8f6c02c2f1a6,f19421c1d4aa40978ebb69ca19b0e20d,22.25
33,00ae03011f9f49b8a4b3e6d416678b0b,2298d6c36e964ae4a3e7e9706d1fb8c2,16.75
34,00ae03011f9f49b8a4b3e6d416678b0b,ae264e3637204a6fb9bb56bc8210ddfd,17.25
35,00ae03011f9f49b8a4b3e6d416678b0b,ae264e3637204a6fb9bb56bc8210ddfd,25.75
36,00ae03011f9f49b8a4b3e6d416678b0b,2298d6c36e964ae4a3e7e9706d1fb8c2,25.75
37,00b18b535d6d4f779dea4dc9ac451478,2298d6c36e964ae4a3e7e9706d1fb8c2,6.5
38,00b18b535d6d4f779dea4dc9ac451478,2298d6c36e964ae4a3e7e9706d1fb8c2,9.5
39,00b18b535d6d4f779dea4dc9ac451478,fafdcd668e3743c1bb461111dcafc2a4,29.25
40,00b3400e4ff64ee68ce9ada1d0c222f0,fafdcd668e3743c1bb461111dcafc2a4,25.25
